company_name,press_site_url,Press Release Link
Laboratoire Chauvin,,https://www.chauvin-arnoux.com/en/presse/infos-presse/archives
Laboratoire de la Mer,,https://www.marketwatch.com/press-release/physiological-sea-water-nasal-spray-market-demand-and-growth-2023-2029-sterimar-gifrer-laboratoire-de-la-mer-gerolymatos-international-sa-2023-05-19
Laboratoire Dermatologique ACM,,https://www.acm.org/media-center/2022/january/fellows-2021
Laboratoire français de Fractionnement et de Biotechnologies,,https://www.groupe-lfb.com/en/news/second-mandate-for-christian-bechon-ceo-of-lfb-group/
Laboratoire Innotech International,,http://mediaart.ge/2020/06/08/laboratoire-innotech-international/
Laboratoires Arkopharma,,https://www.marketscreener.com/quote/stock/BOIRON-5685/news/Press-release-acquisition-by-Boiron-of-Laboratoire-Ferrier-23841903/
Laboratoires Bailleul-Biorga,,https://www.amazon.de/-/en/Bailul-Laboratoires-Cystiphane-Integratore-Compresses/dp/B01MDOLVDD
Laboratoires Besins International,,https://www.ftc.gov/news-events/news/press-releases?utm_adgroup=Bills_BC&utm_title=451&vt_session_id=C4CADAC0AA0011E7B2D9BC764E10CDDC&page=144
Laboratoires Bodycad Inc.,,https://www.globenewswire.com/en/news-release/2023/02/15/2609212/36431/en/Conformis-Inc-Bodycad-Laboratories-Inc-and-Bodycad-USA-Corp-Announce-Settlement-of-Patent-Litigation.html
Laboratoires Bouchara-Recordati,,https://www.biotage.com/en/press-releases
Laboratoires Expanscience S.A.,,https://www.expanscience.com/en/press
Laboratoires FILLMED,,https://fillmed.com/news/
Laboratoires Genévrier,,https://www.ibsagroup.com/media/Press-release.html
Laboratoires Gilbert,,https://www.labogilbert.com/press-2017
Laboratoires Innothera,,https://www.marketscreener.com/quote/stock/OSSUR-HF-5555312/news/Laboratoires-Innothera-S-A-S-completed-the-acquisition-of-Gibaud-SAS-from-Ossur-hf--33683394/
Laboratoires IPRAD,,https://www.businesswire.com/news/home/20200106005580/fr/
Laboratoires Iprad-Vegebom,,No press release link found
Laboratoires Leurquin Mediolanum,,http://www.apeptico.com/self_service_lite/content/index/-sub-/news/files/press_release_final_e_i_2016_12_02_58418fd4ab4cb.pdf
Laboratoires Mayoly Spindler,,https://www.mayoly-spindler.fr/en/category/press/
Laboratoires NEGMA,,https://synapse.patsnap.com/news-detail/eb0666f3-8c89-3cd9-a84c-5cfee80dff7a-mendus-ab-mendus-announces-request-for-conversion-of-convertible-bonds-by-negma-group
Laboratoires Nutrition et Cardiometabolisme,,https://abbott.mediaroom.com/2023-04-19-Abbott-Reports-First-Quarter-2023-Results-Increases-Outlook-For-Underlying-Base-Business
Laboratoires Pharmaceutiques Trenker,,https://www.trenker.be/en/press.aspx
Laboratoires Pronutri,,https://www.pronutri.com/en/news-2/
Laboratoires SMB S.A.,,https://www.packaging-labelling.com/pressreleases/covectra-introduces-authentitrack-prime-for-small-and-medium-sized-businesses-smb
Laboratoires Takeda,,https://www.takeda.com/newsroom/press-releases/
Laboratoires Techni Pharma,,https://www.trescal.com/blog/2022/06/09/press-release-trescal-acquires-three-companies-to-strengthen-leadership-in-europe-and-the-united-states/
Laboratoires Teriak,,https://www.ebrd.com/news/2022/ebrd-and-attijari-bank-tunisia-support-local-pharmaceutical-sector.html
Laboratoires Thea,,https://www.laboratoires-thea.com/en/thea-news
Laboratoires URGO,,https://amires.eu/medilight-final-press-release/
Laboratoires Vivacy,,https://www.globalcosmeticsnews.com/laboratoires-vivacy-up-for-sale/
Laboratori di Informatica Applicata,,https://www.unibz.it/en/home/newsroom/press-releases/a-bolzano-il-convegno-nazionale-di-telemedicina-e-informatica-medica
"Laboratories Leon Farma, S.A.",,https://www.newswire.ca/news-releases/voluntary-nationwide-recall-one-lot-of-mirvala-tm-28-desogestrel-and-ethinyl-estradiol-tablets-usp-0-150-mg-0-030-mg-due-to-possibility-of-one-placebo-pill-in-place-of-an-active-pill-880184984.html
"Laboratorio Avi-Mex, S.A. de C.V.",,https://avimex.com.mx/storage/posts/39/pressrelease-avimex-patria-211v2.pdf
Laboratório Catarinense SA,,https://www.marketwatch.com/press-release/phytotherapics-market-research-2023-2030-2023-05-21
Laboratorio Elea Phoenix S.A.,,https://connect.in-cosmetics.com/news/exhibitor-directory-view-all-companies-exhibiting-at-in-cosmetics-virtual/attachment/laboratorio-elea-phoenix-s-a/
Laboratorio Farmaceutico Ct S.r.l.,,https://www.euronext.com/en/about/media/euronext-press-releases/laboratorio-farmaceutico-erfo-spa-lists-euronext-growth-milan
Laboratorio Industrial de Herbodietetica Aplicada S.L,,No press release link found
Laboratorio Pablo Cassara S.R.L.,,https://www.marketscreener.com/quote/stock/ABBOTT-LABORATORIES-11506/news/Laboratorio-Pablo-Cassara-SRL-and-Grupo-Olmos-acquired-Intravenous-Antibiotics-Factory-in-Liniers-fr-33481718/
Laboratorio Pablo Cassará S.R.L.,,https://www.marketscreener.com/quote/stock/ABBOTT-LABORATORIES-11506/news/Laboratorio-Pablo-Cassara-SRL-and-Grupo-Olmos-acquired-Intravenous-Antibiotics-Factory-in-Liniers-fr-33481718/
Laboratório Químico Farmacêutico Bergamo Ltda.,,https://www.marketscreener.com/quote/stock/BLAU-FARMACEUTICA-S-A-120803221/news/Blau-Farmaceutica-S-A-acquired-Laboratorio-Quimico-Farmaceutico-Bergamo-Ltda-42205355/
Laboratorio Saude Ltda.,,https://www.abbottbrasil.com.br/corpnewsroom/noticias/press-releases/abbott-apresenta-novo-modelo-de-gestao-para-instituicoes-de-saud.html
Laboratório Teuto Brasileiro S/A,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_enters_into_agreement_to_acquire_40_percent_stake_in_teuto_in_brazil
Laboratorios Andromaco S.A.,,https://www.grunenthal.com/en/press-room/press-releases/2013
Laboratórios Baldacci S.A,,No press release link found
Laboratorios Casen-Fleet S.L.U.,,https://www.globenewswire.com/news-release/2013/10/21/581716/27899/en/RECORDATI-FINALIZES-ITS-ACQUISITION-OF-LABORATORIOS-CASEN-FLEET-IN-SPAIN.html
Laboratorios Goulart S.A.,,No press release link found
"Laboratorios Grossman, S.A.",,https://www.gilead.com/news-and-press/press-room/press-releases/2023/1/european-medicines-agency-validates-marketing-authorization-application-for-trodelvy-sacituzumab-govitecanhziy-for-pretreated-hrher2-metastati
"Laboratorios Hipra, S.A.",,https://www.hipra.com/en/press
Laboratorios Laproff S.A.,,No press release link found
"Laboratorios Leti, S.L.",,https://www.businesswire.com/news/home/20150602006258/en/Research-and-Markets-Allergic-Rhino-Conjunctivitis---Pipeline-Review-H1-2015
Laboratorios Liconsa,,No press release link found
Laboratorios Liomont,,https://ir.outlooktherapeutics.com/news-releases/news-release-details/liomont-and-oncobiologics-partner-launch-biosimilars-mexico
2023. 4. 24,,https://ec.europa.eu/commission/presscorner/detail/en/mex_23_2421
Laboratorios Ordesa,,https://newsnreleases.com/2019/12/05/suda-pharmaceuticals-sign-co-development-deal-with-spanish-laboratorios-ordesa/
Laboratorios Osorio de Moraes Ltda.,,No press release link found
Laboratorios Poen,,https://www.worldservicesgroup.com/releases.asp?action=press&pressid=16965
Laboratorios Richmond S.A.C.I.F.,,https://finance.yahoo.com/quote/RICH.BA/press-releases/
